experiment_id,algorithm,crossover,mutation,run_id,timestamp,pop_size,n_gen_max,n_gen_real,n_final_pop,n_feasible_final,f1_min_feas,f1_mean_feas,f2_min_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas
pizza_sbx_polynomial_run01,nsga2,sbx,polynomial,1,2026-02-13T11:09:15.444251,30,50,51,30,30,-0.9370344877243042,-0.8499288578828176,4.0,9.866666666666667,0.9370344877243042,0.8499288578828176,"[0.0, 80]",70.19659119844437
pizza_sbx_polynomial_run02,nsga2,sbx,polynomial,2,2026-02-13T11:39:26.886039,30,50,51,30,30,-0.9420470595359802,-0.8863997558752695,3.0,14.866666666666667,0.9420470595359802,0.8863997558752695,"[0.0, 80]",71.19466656446457
pizza_sbx_polynomial_run03,nsga2,sbx,polynomial,3,2026-02-13T11:53:37.993534,30,50,18,30,30,-0.964319109916687,-0.7540497968594233,4.0,12.533333333333333,0.964319109916687,0.7540497968594233,"[0.0, 80]",69.96093261241913
pizza_sbx_polynomial_run04,nsga2,sbx,polynomial,4,2026-02-13T12:20:18.860503,30,50,36,30,30,-0.8738299012184143,-0.8504185974597931,3.0,22.966666666666665,0.8738299012184143,0.8504185974597931,"[0.0, 80]",64.87265992164612
pizza_sbx_polynomial_run05,nsga2,sbx,polynomial,5,2026-02-13T12:45:42.342891,30,50,51,30,30,-0.960107147693634,-0.8979030112425487,3.0,6.5,0.960107147693634,0.8979030112425487,"[0.0, 80]",73.31566500663757
pizza_sbx_polynomial_run06,nsga2,sbx,polynomial,6,2026-02-13T13:07:07.054008,30,50,51,30,30,-0.92889004945755,-0.8489074011643728,3.0,5.833333333333333,0.92889004945755,0.8489074011643728,"[0.0, 80]",71.04442662000656
pizza_sbx_polynomial_run07,nsga2,sbx,polynomial,7,2026-02-13T13:35:41.227034,30,50,51,30,30,-0.9350879192352295,-0.9034591813882192,4.0,5.066666666666666,0.9350879192352295,0.9034591813882192,"[0.0, 80]",70.93740212917328
pizza_sbx_polynomial_run08,nsga2,sbx,polynomial,8,2026-02-13T14:08:08.727598,30,50,51,30,30,-0.9317916631698608,-0.904585580031077,3.0,12.0,0.9317916631698608,0.904585580031077,"[0.0, 80]",70.66273474693298
pizza_sbx_polynomial_run09,nsga2,sbx,polynomial,9,2026-02-13T14:32:10.358053,30,50,51,30,30,-0.9207379817962646,-0.8057057877381643,3.0,7.333333333333333,0.9207379817962646,0.8057057877381643,"[0.0, 80]",70.18477469682693
pizza_sbx_polynomial_run10,nsga2,sbx,polynomial,10,2026-02-13T15:03:50.755654,30,50,51,30,30,-0.9478461146354675,-0.9102151989936829,3.0,19.066666666666666,0.9478461146354675,0.9102151989936829,"[0.0, 80]",71.10929101705551
