experiment_id,algorithm,crossover,mutation,run_id,timestamp,pop_size,n_gen_max,n_gen_real,n_final_pop,n_feasible_final,f1_min_feas,f1_mean_feas,f2_min_feas,f2_mean_feas,fitness_yolo_max_feas,fitness_yolo_mean_feas,ref_point_hv,hypervolume_feas,hypervolume_norm,f1_norm,f2_norm
NSGA2_sbx_polynomial_run01,NSGA2,sbx,polynomial,1,2026-02-02T21:20:11.199091,30,50,51,30,30,-0.9563540816307068,-0.8479320446650187,2.0,12.833333333333334,0.9563540816307068,0.8479320446650187,"[0.0, 80]",73.23426628112793,0.9530931396802012,0.0771256932727244,0.2
NSGA2_sbx_polynomial_run02,NSGA2,sbx,polynomial,2,2026-02-03T00:47:03.529366,30,50,51,30,30,-0.9768587946891784,-0.9678084472815196,6.0,7.0,0.9768587946891784,0.9678084472815196,"[0.0, 80]",72.27400267124176,0.9311329679392282,0.017617456339949017,1.0
NSGA2_sbx_polynomial_run03,NSGA2,sbx,polynomial,3,2026-02-03T04:05:36.566737,30,50,51,30,30,-0.969664454460144,-0.8442422886689503,2.0,14.1,0.969664454460144,0.8442422886689503,"[0.0, 80]",74.03191131353378,0.9713344035577764,0.03849668062870304,0.2
NSGA2_sbx_polynomial_run04,NSGA2,sbx,polynomial,4,2026-02-03T06:41:33.900741,30,50,51,30,30,-0.9583565592765808,-0.9169885913530984,3.0,5.633333333333334,0.9583565592765808,0.9169885913530984,"[0.0, 80]",73.21070337295532,0.9525542819073356,0.0713141555124325,0.4
NSGA2_sbx_polynomial_run05,NSGA2,sbx,polynomial,5,2026-02-03T08:35:42.764502,30,50,34,30,30,-0.982929229736328,-0.922131892045339,3.0,7.8,0.982929229736328,0.922131892045339,"[0.0, 80]",75.28538644313812,1.0,0.0,0.4
NSGA2_sbx_polynomial_run06,NSGA2,sbx,polynomial,6,2026-02-03T10:28:50.952960,30,50,51,30,30,-0.9543465375900269,-0.7565998415152232,2.0,2.466666666666667,0.9543465375900269,0.7565998415152232,"[0.0, 80]",74.11836087703705,0.9733114099151128,0.08295193459027383,0.2
NSGA2_sbx_polynomial_run07,NSGA2,sbx,polynomial,7,2026-02-03T14:26:17.725471,30,50,51,30,30,-0.965030074119568,-0.8607887109120687,2.0,9.933333333333334,0.965030074119568,0.8607887109120687,"[0.0, 80]",74.36814886331558,0.979023786205368,0.051946456909754475,0.2
NSGA2_sbx_polynomial_run08,NSGA2,sbx,polynomial,8,2026-02-03T17:03:21.593576,30,50,51,30,30,-0.9494245052337646,-0.7928466339906056,2.0,3.3333333333333335,0.9494245052337646,0.7928466339906056,"[0.0, 80]",73.58799242973328,0.9611824673321854,0.09723652695750158,0.2
NSGA2_sbx_polynomial_run09,NSGA2,sbx,polynomial,9,2026-02-03T19:08:49.686888,30,50,51,30,30,-0.9481927156448364,-0.8267760793368022,2.0,4.4,0.9481927156448364,0.8267760793368022,"[0.0, 80]",73.4956641793251,0.9590710218763407,0.10081139418437955,0.2
NSGA2_sbx_polynomial_run10,NSGA2,sbx,polynomial,10,2026-02-03T22:48:14.724521,30,50,51,30,30,-0.9579720497131348,-0.8927913089593251,3.0,7.133333333333334,0.9579720497131348,0.8927913089593251,"[0.0, 80]",73.58517599105835,0.9611180584799052,0.07243006901676764,0.4
